Shipment ID,Origin,Destination,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Planned Delivery Duration,Actual Delivery Delay,Shipment Month,Shipment Day of Week,Is Weekend,Season
SHIP000000,5,8,2,0.7794444444444444,2,1,1,0.3333333333333333,0.5263157894736842,4,2,0,2
SHIP000001,1,3,2,0.576111111111111,3,2,1,0.25,0.6842105263157894,2,3,0,1
SHIP000002,8,2,3,0.9238888888888888,0,1,0,0.4166666666666667,0.47368421052631576,9,1,0,4
SHIP000003,4,0,0,0.6522222222222223,0,1,0,0.25,0.47368421052631576,4,5,1,2
SHIP000004,2,6,0,0.2644444444444444,0,0,1,0.08333333333333333,0.5789473684210527,11,4,0,4
SHIP000005,2,0,0,0.30333333333333334,3,1,1,0.08333333333333333,0.631578947368421,3,3,0,2
SHIP000006,1,7,1,0.9933333333333332,1,1,1,0.4166666666666667,0.8421052631578947,5,1,0,2
SHIP000007,6,8,0,0.7338888888888888,2,2,1,0.3333333333333333,0.5789473684210527,4,5,1,2
SHIP000008,6,1,3,0.10555555555555557,2,1,1,0.0,0.5263157894736842,10,6,1,4
SHIP000009,7,0,2,0.06888888888888889,0,1,0,0.0,0.47368421052631576,3,2,0,2
SHIP000010,3,0,2,0.8216666666666668,2,1,1,0.3333333333333333,0.5263157894736842,7,2,0,3
SHIP000011,0,3,2,0.9016666666666666,2,2,1,0.4166666666666667,0.6842105263157894,4,0,0,2
SHIP000012,8,6,3,0.17777777777777776,0,2,1,0.0,0.7368421052631579,6,0,0,3
SHIP000013,4,0,0,0.6977777777777778,0,0,1,0.25,0.5789473684210527,11,6,1,4
SHIP000014,4,8,1,0.3211111111111111,0,1,0,0.08333333333333333,0.47368421052631576,9,4,0,4
SHIP000015,9,6,3,0.8172222222222223,0,2,1,0.3333333333333333,0.7368421052631579,5,3,0,2
SHIP000016,2,1,3,0.7911111111111111,0,2,1,0.3333333333333333,0.5263157894736842,7,4,0,3
SHIP000017,7,9,3,0.06333333333333335,0,1,0,0.0,0.47368421052631576,11,1,0,4
SHIP000018,5,8,3,0.09,1,2,1,0.0,0.631578947368421,9,6,1,4
SHIP000019,9,7,1,0.8283333333333334,2,1,1,0.3333333333333333,0.5263157894736842,2,4,0,1
SHIP000020,2,5,0,0.44388888888888894,0,1,0,0.16666666666666669,0.47368421052631576,4,4,0,2
SHIP000021,7,9,3,0.9061111111111111,0,1,0,0.4166666666666667,0.47368421052631576,11,0,0,4
SHIP000022,5,2,1,0.7344444444444445,0,1,0,0.3333333333333333,0.47368421052631576,6,5,1,3
SHIP000023,5,0,3,0.9361111111111111,2,1,1,0.4166666666666667,0.5263157894736842,5,3,0,2
