Shipment ID,Origin,Destination,Shipment Date,Planned Delivery Date,Actual Delivery Date,Vehicle Type,Distance (km),Weather Conditions,Traffic Conditions,Delayed,Planned Delivery Duration,Actual Delivery Delay,Shipment Month,Shipment Day of Week,Is Weekend
SHIP000000,5,8,2023-04-26,2023-05-01,2023-05-02,2,0.7794444444444444,2,1,1,0.8,0.1,4,2,0
SHIP000001,1,3,2023-02-09,2023-02-13,2023-02-17,2,0.576111111111111,3,2,1,0.6000000000000001,0.4,2,3,0
SHIP000002,8,2,2023-09-19,2023-09-25,2023-09-25,3,0.9238888888888888,0,1,0,1.0000000000000002,0.0,9,1,0
SHIP000003,4,0,2023-04-01,2023-04-05,2023-04-05,0,0.6522222222222223,0,1,0,0.6000000000000001,0.0,4,5,1
SHIP000004,2,6,2023-11-24,2023-11-26,2023-11-28,0,0.2644444444444444,0,0,1,0.2,0.2,11,4,0
SHIP000005,2,0,2024-03-14,2024-03-16,2024-03-19,0,0.30333333333333334,3,1,1,0.2,0.30000000000000004,3,3,0
SHIP000006,1,7,2024-05-28,2024-06-03,2024-06-10,1,0.9933333333333332,1,1,1,1.0000000000000002,0.7000000000000001,5,1,0
SHIP000007,6,8,2023-04-01,2023-04-06,2023-04-08,0,0.7338888888888888,2,2,1,0.8,0.2,4,5,1
SHIP000008,6,1,2023-10-01,2023-10-02,2023-10-03,3,0.10555555555555557,2,1,1,0.0,0.1,10,6,1
SHIP000009,7,0,2023-03-08,2023-03-09,2023-03-09,2,0.06888888888888889,0,1,0,0.0,0.0,3,2,0
SHIP000010,3,0,2023-07-19,2023-07-24,2023-07-25,2,0.8216666666666668,2,1,1,0.8,0.1,7,2,0
SHIP000011,0,3,2023-04-03,2023-04-09,2023-04-13,2,0.9016666666666666,2,2,1,1.0000000000000002,0.4,4,0,0
SHIP000012,8,6,2023-06-12,2023-06-13,2023-06-18,3,0.17777777777777776,0,2,1,0.0,0.5,6,0,0
SHIP000013,4,0,2023-11-12,2023-11-16,2023-11-18,0,0.6977777777777778,0,0,1,0.6000000000000001,0.2,11,6,1
SHIP000014,4,8,2023-09-15,2023-09-17,2023-09-17,1,0.3211111111111111,0,1,0,0.2,0.0,9,4,0
SHIP000015,9,6,2024-05-16,2024-05-21,2024-05-26,3,0.8172222222222223,0,2,1,0.8,0.5,5,3,0
SHIP000016,2,1,2023-07-28,2023-08-02,2023-08-03,3,0.7911111111111111,0,2,1,0.8,0.1,7,4,0
SHIP000017,7,9,2023-11-28,2023-11-29,2023-11-29,3,0.06333333333333335,0,1,0,0.0,0.0,11,1,0
SHIP000018,5,8,2023-09-03,2023-09-04,2023-09-07,3,0.09,1,2,1,0.0,0.30000000000000004,9,6,1
SHIP000019,9,7,2024-02-02,2024-02-07,2024-02-08,1,0.8283333333333334,2,1,1,0.8,0.1,2,4,0
SHIP000020,2,5,2024-04-12,2024-04-15,2024-04-15,0,0.44388888888888894,0,1,0,0.4000000000000001,0.0,4,4,0
